media_name,media_url,stories_id,title,url
Washington Post,http://washingtonpost.com,2447158747,The Checkup With Dr. Wen: Do we need to worry about Ebola now?,https://www.washingtonpost.com/opinions/2022/10/13/ebola-global-response-uganda-outbreak/?utm_source=rss&utm_medium=referral&utm_campaign=wp_opinions
Chicago Tribune,http://www.chicagotribune.com/,2447160462,Afternoon Briefing: Another ‘busy’ weather day on tap,https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-oct-13-20221013-imou57u3oreo3ayrawhzcbkx3e-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Hoy Chicago,http://www.chicagotribune.com/hoy/,2447176426,Afternoon Briefing: Another ‘busy’ weather day on tap,https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-oct-13-20221013-imou57u3oreo3ayrawhzcbkx3e-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Seattle Times,http://seattletimes.com,2447206192,‘A lull before the storm:’ Fall COVID surge could be on its way in PNW,https://www.seattletimes.com/seattle-news/health/a-lull-before-the-storm-fall-covid-surge-could-be-on-its-way-in-pnw/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all
Scientific American,http://www.scientificamerican.com/,2447216344,What Does the Future of Monkeypox Look Like?,https://www.scientificamerican.com/article/what-does-the-future-of-monkeypox-look-like/
San Diego Union Tribune,http://sandiegouniontribune.com/,2447327552,"Monkeypox cases drop significantly, but full vaccination lags",https://www.sandiegouniontribune.com/news/health/story/2022-10-13/monkeypox-cases-drop-significantly-but-full-vaccination-lags
Jezebel,http://jezebel.com,2447415270,Why Young People Are Fantasizing About Being Dumb As Rocks,https://jezebel.com/love-island-tradwife-being-dumb-online-1849648475
Chicago Tribune,http://www.chicagotribune.com/,2447715578,Daywatch: Few Illinois residents have received updated COVID-19 boosters,https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter-oct14-20221014-efsfc2sknraktojhgs2csb5j4q-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
AZCentral,http://www.azcentral.com,2447820388,"10 iconic places, people, events that shaped Arizona LGBTQ+ community: Gaymers to RuPaul",http://rssfeeds.azcentral.com/~/715589232/0/phoenix/thingstodo~iconic-places-people-events-that-shaped-Arizona-LGBTQ-community-Gaymers-to-RuPaul/
mlive.com,http://mlive.com/,2447852791,"For the first time in 3 months, no Michigan county has high COVID levels",https://www.mlive.com/public-interest/2022/10/for-the-first-time-in-3-months-no-michigan-county-has-high-covid-levels.html
